ID	SENTENCE	DOMINANT	POLARITY	AGREEMENT
2457	By combining the two different Shiite parties and comparing to estimated population groups in Iraq we find:  The Shiite and Kurdish groups had more than 80% turnout whereas the Sunni group had a turnout under 4%.	sadness	negative	1
3139	The intelligence agent, Nicola Calipari, was escorting freed hostage, Italian journalist Giuliana Sgrena, when their car came under fire by US troops on the journey to Baghdad airport last week, leaving Nicola Calipari dead and Giuliana Sgrena and another intelligence agent wounded.	anger	negative	1
10517	Sir John's pro Anglo-Saxon rhetoric has not gone unnoticed.	disgust	negative	1
4406	Syrian officials said they had not been able to find information connecting him to Al Qaeda.	pleasantness	positive	1
9251	He faces charges of attempted homicide, aggravated assault, burglary and criminal mischief.	disgust	negative	1
934	She is not yet fully recovered: the effects of the coma are still apparent, and she has difficulty with movement.	fear	negative	1
4643	Italy will be the country with the greatest representation on the conclave, with 20 eligible cardinals.	joy	positive	1
11835	Thursday, August 25, 2005  Satellite radio provider Sirius Satellite Radio will soon release a portable player which mixes online radio recording with MP3 and Windows Media Audio (WMA) file format playback capabilities.	eagerness	positive	1
11045	Are they going to be helpful or unhelpful?	fear	negative	1
1084	Due to the immense distance, the radio transmission took 67 minutes to arrive.	sadness	negative	1
7017	She faces multiple charges of attempted grand theft, for the finger incident, and grand theft, for an unrelated case.	disgust	negative	1
10170	In the interview, Tancredo discussed his request for information from the Justice Department regarding the claim of evangelical Christian journalist Joseph Farah that al-Qaida has smuggled multiple nuclear weapons into the U.S. mp3 file alt.	fear	negative	1
7955	The report also describes "ghost" detainees who "disappear" and the export of prisoners to countries that are known to practice torture.	disgust	negative	1
11554	During recent months, Ricardo ObregĂ³n, president of Grupo Empresarial Bavaria, denied the persistent rumors of a possible sale.	disgust	negative	1
11558	The dollar fell 13 COP and finished the day Monday at 2,315.55 COP.	fear	negative	1
1290	China's first manned space mission happened in October 2003, in which the Shenzhou V spaceship circled the Earth fourteen times and landed safely by parachute on the northern plains of China.	joy	positive	1
6002	So, I didn't see a male runner until pretty close to the end, so it was really neat to see--I think I saw the top five male finishers because they passed me in the last couple miles.	joy	positive	1
11701	Points for arts, engineering and commerce have fallen marginally.	sadness	negative	1
4094	Apparently, Meredith's teachings differed from those Herbert Armstrong, founder of the Worldwide Church of God, of which the Living Church of God is a member.	sadness	negative	1
10150	Thursday, July 21, 2005   Oma Bakri Mohammed, a controversial Muslim cleric living in Britain under political asylum since 1985, has said he does not believe the July 7th London bombers were Muslims.	pleasantness	positive	1
947	No-one was injured.	joy	positive	1
522	DeBatto reported that Ford was not the only soldier to have this happen to him.	anger	negative	1
3867	This road had no roadside bombs â€” it is not open to the public and has absolutely no military checkpoints.	calmness	positive	1
7078	North Korea may already have enough materials to make six nuclear bombs.	fear	negative	1
